config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(2, 0.01, 1e-05)",2,0.01,1e-05,30,0.013592302799224854,0.982075938612974,0.012542986823805507,0.8690676484094796
"(2, 0.01, 1e-05)",2,0.01,1e-05,45,0.01672762632369995,1.0057849644465997,0.14349023703676092,0.8466244170236538
"(2, 0.01, 1e-05)",2,0.01,1e-05,99,0.013916611671447754,1.001788071534251,0.0021917639263220605,0.8758711459126335
"(2, 0.01, 1e-05)",2,0.01,1e-05,2048,0.017024576663970947,0.9839053417933435,0.7044278317464345,0.9067003365021672
"(2, 0.01, 5e-05)",2,0.01,5e-05,10,0.015900373458862305,0.9344629001499819,0.15308246842984147,0.9420892618510041
"(2, 0.01, 5e-05)",2,0.01,5e-05,30,0.013531744480133057,0.985399654844184,0.00905481525027543,0.8691370447887651
"(2, 0.01, 5e-05)",2,0.01,5e-05,45,0.018325865268707275,0.9972385825432726,0.414328438468585,0.930303035675534
"(2, 0.01, 5e-05)",2,0.01,5e-05,99,0.012168705463409424,0.9901323452972896,0.14747157671154676,0.8867634971279617
"(2, 0.01, 5e-05)",2,0.01,5e-05,2048,0.016641616821289062,0.9863005906532715,0.3731429961232779,0.9177840666631121
"(2, 0.01, 0.0001)",2,0.01,0.0001,10,0.015700876712799072,0.9272333220415558,0.14399240410545303,0.9421065041670051
"(2, 0.01, 0.0001)",2,0.01,0.0001,30,0.01656949520111084,0.9798197752741612,0.06020621459706867,0.9134922801531968
"(2, 0.01, 0.0001)",2,0.01,0.0001,45,0.01823514699935913,0.9961222970202672,0.4060684114597299,0.9302991955672247
"(2, 0.01, 0.0001)",2,0.01,0.0001,99,0.012298941612243652,0.9901361961486361,0.15054890701766557,0.8868777571595069
"(2, 0.01, 0.0001)",2,0.01,0.0001,2048,0.0165940523147583,0.983183222199184,0.35985233842924363,0.9178225929664416
"(2, 0.01, 0.0005)",2,0.01,0.0005,10,0.018363475799560547,0.7730451822956913,0.9716186055566565,0.9974195994300553
"(2, 0.01, 0.0005)",2,0.01,0.0005,30,0.016802549362182617,0.988043944263018,0.010711369179002032,0.950508396447818
"(2, 0.01, 0.0005)",2,0.01,0.0005,45,0.016938507556915283,1.0196472305692632,0.3706888506702866,0.9305536299252839
"(2, 0.01, 0.0005)",2,0.01,0.0005,99,0.017134130001068115,0.9735640156920361,0.35889359951913197,0.9303234657318745
"(2, 0.01, 0.0005)",2,0.01,0.0005,2048,0.015508413314819336,0.9735651481312648,0.2663029273995015,0.917861321376568
"(2, 0.05, 1e-06)",2,0.05,1e-06,10,0.007936537265777588,0.6638136672215594,0.7236157232900097,0.5178683409754954
"(2, 0.05, 1e-06)",2,0.05,1e-06,30,0.012996494770050049,0.6473804086510869,0.6499140969629562,0.6948062819950038
"(2, 0.05, 1e-06)",2,0.05,1e-06,45,0.006936252117156982,0.6703630984969396,0.6839007711525459,0.5408194826651318
"(2, 0.05, 1e-06)",2,0.05,1e-06,99,0.017733991146087646,0.6045522296295373,0.8420798849980485,0.9243643783515758
"(2, 0.05, 1e-06)",2,0.05,1e-06,2048,0.011668264865875244,0.6738296103119937,0.49946893234394263,0.5312018427081198
"(2, 0.05, 1e-05)",2,0.05,1e-05,10,0.016790807247161865,0.9889945529506505,0.01239954190734843,0.8793494953952565
"(2, 0.05, 1e-05)",2,0.05,1e-05,30,0.016542136669158936,0.9767538826447875,0.08191627104221437,0.9135207881065404
"(2, 0.05, 1e-05)",2,0.05,1e-05,45,0.01690351963043213,1.035696369508868,0.15994579630918274,0.85092671181997
"(2, 0.05, 1e-05)",2,0.05,1e-05,99,0.013744831085205078,0.9848801386866918,0.0003292773219419471,0.8770283562833215
"(2, 0.05, 1e-05)",2,0.05,1e-05,2048,0.016934216022491455,0.9867947516654254,0.7351340399219883,0.9122021960060283
